Time,Full_name,Quality,Type,Kind,Exterior,Price,OnSale
2023-6-11 21:4,蝴蝶刀（★） | 屠夫 (略有磨损),隐秘,★,匕首,略有磨损,10099.5,当前在售(286)
2023-6-11 21:4,蝴蝶刀（★） | 屠夫 (崭新出厂),隐秘,★,匕首,崭新出厂,12280,当前在售(286)
2023-6-11 21:4,蝴蝶刀（★） | 屠夫 (久经沙场),隐秘,★,匕首,久经沙场,8699.5,当前在售(286)
2023-6-11 21:4,暗影双匕（★） | 噩梦之夜 (略有磨损),隐秘,★,匕首,略有磨损,800,当前在售(12)
2023-6-11 21:4,暗影双匕（★） | 噩梦之夜 (久经沙场),隐秘,★,匕首,久经沙场,652.94,当前在售(12)
2023-6-11 21:4,暗影双匕（★） | 噩梦之夜 (破损不堪),隐秘,★,匕首,破损不堪,692.49,当前在售(12)
2023-6-11 21:4,暗影双匕（★） | 噩梦之夜 (战痕累累),隐秘,★,匕首,战痕累累,658.5,当前在售(12)
2023-6-11 21:4,SG 553（纪念品） | 白骨 (略有磨损),消费级,纪念品,步枪,略有磨损,0.11,当前在售(1000+)
2023-6-11 21:4,SG 553（纪念品） | 白骨 (崭新出厂),消费级,纪念品,步枪,崭新出厂,0.35,当前在售(1000+)
2023-6-11 21:4,SG 553（纪念品） | 白骨 (久经沙场),消费级,纪念品,步枪,久经沙场,0.09,当前在售(1000+)
2023-6-11 21:4,SG 553（纪念品） | 白骨 (破损不堪),消费级,纪念品,步枪,破损不堪,0.11,当前在售(1000+)
2023-6-11 21:4,SG 553（纪念品） | 白骨 (战痕累累),消费级,纪念品,步枪,战痕累累,0.17,当前在售(1000+)
2023-6-11 21:4,P2000（纪念品） | 坚固链甲 (略有磨损),军规级,纪念品,手枪,略有磨损,60,当前在售(80)
2023-6-11 21:4,P2000（纪念品） | 坚固链甲 (崭新出厂),军规级,纪念品,手枪,崭新出厂,63.89,当前在售(80)
2023-6-11 21:4,P2000（纪念品） | 坚固链甲 (久经沙场),军规级,纪念品,手枪,久经沙场,60,当前在售(80)
2023-6-11 21:4,UMP-45 | 紫青之色 (略有磨损),消费级,普通,微型冲锋枪,略有磨损,10.86,当前在售(103)
2023-6-11 21:4,UMP-45 | 紫青之色 (崭新出厂),消费级,普通,微型冲锋枪,崭新出厂,37.39,当前在售(103)
2023-6-11 21:4,UMP-45 | 紫青之色 (久经沙场),消费级,普通,微型冲锋枪,久经沙场,10.11,当前在售(103)
2023-6-11 21:4,UMP-45 | 紫青之色 (破损不堪),消费级,普通,微型冲锋枪,破损不堪,9.57,当前在售(103)
2023-6-11 21:4,UMP-45 | 紫青之色 (战痕累累),消费级,普通,微型冲锋枪,战痕累累,9.71,当前在售(103)
2023-6-11 21:4,蝴蝶刀（★） | 深红之网 (略有磨损),隐秘,★,匕首,略有磨损,14799,当前在售(285)
2023-6-11 21:4,蝴蝶刀（★） | 深红之网 (崭新出厂),隐秘,★,匕首,崭新出厂,46899,当前在售(285)
2023-6-11 21:4,蝴蝶刀（★） | 深红之网 (久经沙场),隐秘,★,匕首,久经沙场,7229.5,当前在售(285)
2023-6-11 21:4,蝴蝶刀（★） | 深红之网 (破损不堪),隐秘,★,匕首,破损不堪,6609.99,当前在售(285)
2023-6-11 21:4,蝴蝶刀（★） | 深红之网 (战痕累累),隐秘,★,匕首,战痕累累,5555,当前在售(285)
2023-6-11 21:4,暗影双匕（★ StatTrak™） | 大马士革钢 (略有磨损),隐秘,★ StatTrak™,匕首,略有磨损,998.69,当前在售(12)
2023-6-11 21:4,暗影双匕（★ StatTrak™） | 大马士革钢 (崭新出厂),隐秘,★,匕首,崭新出厂,1298.5,当前在售(12)
2023-6-11 21:4,暗影双匕（★ StatTrak™） | 大马士革钢 (久经沙场),隐秘,★,匕首,久经沙场,849.99,当前在售(12)
2023-6-11 21:4,暗影双匕（★ StatTrak™） | 大马士革钢 (破损不堪),隐秘,★,匕首,破损不堪,1200,当前在售(12)
2023-6-11 21:4,SG 553 | 阿罗哈 (略有磨损),军规级,普通,步枪,略有磨损,0.82,当前在售(1000+)
2023-6-11 21:4,SG 553 | 阿罗哈 (崭新出厂),军规级,普通,步枪,崭新出厂,1.39,当前在售(1000+)
2023-6-11 21:4,SG 553 | 阿罗哈 (久经沙场),军规级,普通,步枪,久经沙场,0.37,当前在售(1000+)
2023-6-11 21:4,SG 553 | 阿罗哈 (破损不堪),军规级,普通,步枪,破损不堪,0.35,当前在售(1000+)
2023-6-11 21:4,SG 553 | 阿罗哈 (战痕累累),军规级,普通,步枪,战痕累累,0.33,当前在售(1000+)
2023-6-11 21:4,P2000 | 黑曜石 (略有磨损),受限,普通,手枪,略有磨损,16.79,当前在售(48)
2023-6-11 21:4,P2000 | 黑曜石 (崭新出厂),受限,普通,手枪,崭新出厂,34,当前在售(48)
2023-6-11 21:4,P2000 | 黑曜石 (久经沙场),受限,普通,手枪,久经沙场,9.38,当前在售(48)
2023-6-11 21:4,P2000 | 黑曜石 (破损不堪),受限,普通,手枪,破损不堪,7.06,当前在售(48)
2023-6-11 21:4,P2000 | 黑曜石 (战痕累累),受限,普通,手枪,战痕累累,9.88,当前在售(48)
2023-6-11 21:4,UMP-45 | 金铋辉煌 (略有磨损),受限,普通,微型冲锋枪,略有磨损,22.24,当前在售(115)
2023-6-11 21:4,UMP-45 | 金铋辉煌 (崭新出厂),受限,普通,微型冲锋枪,崭新出厂,32,当前在售(115)
2023-6-11 21:4,UMP-45 | 金铋辉煌 (久经沙场),受限,普通,微型冲锋枪,久经沙场,13.83,当前在售(115)
2023-6-11 21:4,UMP-45 | 金铋辉煌 (破损不堪),受限,普通,微型冲锋枪,破损不堪,19.99,当前在售(115)
2023-6-11 21:4,UMP-45 | 金铋辉煌 (战痕累累),受限,普通,微型冲锋枪,战痕累累,11.38,当前在售(115)
