Time,Full_name,Quality,Type,Kind,Exterior,Price,OnSale
2023-6-17 21:58,P2000（纪念品） | 坚固链甲 (略有磨损),军规级,纪念品,手枪,略有磨损,69.4,当前在售(85)
2023-6-17 21:58,P2000（纪念品） | 坚固链甲 (崭新出厂),军规级,纪念品,手枪,崭新出厂,65,当前在售(85)
2023-6-17 21:58,P2000（纪念品） | 坚固链甲 (久经沙场),军规级,纪念品,手枪,久经沙场,74.8,当前在售(85)
2023-6-17 21:58,蝴蝶刀（★） | 屠夫 (略有磨损),隐秘,★,匕首,略有磨损,10060,当前在售(274)
2023-6-17 21:58,蝴蝶刀（★） | 屠夫 (崭新出厂),隐秘,★,匕首,崭新出厂,12099,当前在售(274)
2023-6-17 21:58,蝴蝶刀（★） | 屠夫 (久经沙场),隐秘,★,匕首,久经沙场,8880,当前在售(274)
2023-6-17 21:58,暗影双匕（★） | 噩梦之夜 (略有磨损),隐秘,★,匕首,略有磨损,799,当前在售(9)
2023-6-17 21:58,暗影双匕（★） | 噩梦之夜 (久经沙场),隐秘,★,匕首,久经沙场,637.9,当前在售(9)
2023-6-17 21:58,暗影双匕（★） | 噩梦之夜 (破损不堪),隐秘,★,匕首,破损不堪,636.99,当前在售(9)
2023-6-17 21:58,暗影双匕（★） | 噩梦之夜 (战痕累累),隐秘,★,匕首,战痕累累,647,当前在售(9)
2023-6-17 21:58,UMP-45 | 紫青之色 (略有磨损),消费级,普通,微型冲锋枪,略有磨损,11.77,当前在售(127)
2023-6-17 21:58,UMP-45 | 紫青之色 (崭新出厂),消费级,普通,微型冲锋枪,崭新出厂,33.51,当前在售(127)
2023-6-17 21:58,UMP-45 | 紫青之色 (久经沙场),消费级,普通,微型冲锋枪,久经沙场,12.69,当前在售(127)
2023-6-17 21:58,UMP-45 | 紫青之色 (破损不堪),消费级,普通,微型冲锋枪,破损不堪,12,当前在售(127)
2023-6-17 21:58,UMP-45 | 紫青之色 (战痕累累),消费级,普通,微型冲锋枪,战痕累累,11,当前在售(127)
2023-6-17 21:58,SG 553（纪念品） | 白骨 (略有磨损),消费级,纪念品,步枪,略有磨损,0.07,当前在售(1000+)
2023-6-17 21:58,SG 553（纪念品） | 白骨 (崭新出厂),消费级,纪念品,步枪,崭新出厂,0.39,当前在售(1000+)
2023-6-17 21:58,SG 553（纪念品） | 白骨 (久经沙场),消费级,纪念品,步枪,久经沙场,0.06,当前在售(1000+)
2023-6-17 21:58,SG 553（纪念品） | 白骨 (破损不堪),消费级,纪念品,步枪,破损不堪,0.1,当前在售(1000+)
2023-6-17 21:58,SG 553（纪念品） | 白骨 (战痕累累),消费级,纪念品,步枪,战痕累累,0.11,当前在售(1000+)
2023-6-17 21:58,蝴蝶刀（★） | 深红之网 (略有磨损),隐秘,★,匕首,略有磨损,14680,当前在售(295)
2023-6-17 21:58,蝴蝶刀（★） | 深红之网 (崭新出厂),隐秘,★,匕首,崭新出厂,46500,当前在售(295)
2023-6-17 21:58,蝴蝶刀（★） | 深红之网 (久经沙场),隐秘,★,匕首,久经沙场,7140,当前在售(295)
