Time,Full_name,Quality,Type,Kind,Exterior,Price,OnSale
2023-6-2 20:18,暗影双匕（★） | 噩梦之夜 (略有磨损) ,隐秘,★,匕首,略有磨损,777.76,当前在售(12)
2023-6-2 20:18,暗影双匕（★） | 噩梦之夜 (久经沙场),隐秘,★,匕首,久经沙场,679,当前在售(12)
2023-6-2 20:18,暗影双匕（★） | 噩梦之夜 (破损不堪),隐秘,★,匕首,破损不堪,699.5,当前在售(12)
2023-6-2 20:18,暗影双匕（★） | 噩梦之夜 (战痕累累),隐秘,★,匕首,战痕累累,666,当前在售(12)
2023-6-2 20:18,P2000（纪念品） | 坚固链甲 (略有磨损) ,军规级,纪念品,手枪,略有磨损,49.94,当前在售(90)
2023-6-2 20:18,P2000（纪念品） | 坚固链甲 (崭新出厂),军规级,纪念品,手枪,崭新出厂,64.8,当前在售(90)
2023-6-2 20:18,P2000（纪念品） | 坚固链甲 (久经沙场),军规级,纪念品,手枪,久经沙场,55.69,当前在售(90)
2023-6-2 20:18,SG 553（纪念品） | 白骨 (略有磨损) ,消费级,纪念品,步枪,略有磨损,0.11,当前在售(1000+)
2023-6-2 20:18,SG 553（纪念品） | 白骨 (崭新出厂),消费级,纪念品,步枪,崭新出厂,0.39,当前在售(1000+)
2023-6-2 20:18,SG 553（纪念品） | 白骨 (久经沙场),消费级,纪念品,步枪,久经沙场,0.1,当前在售(1000+)
2023-6-2 20:18,SG 553（纪念品） | 白骨 (破损不堪),消费级,纪念品,步枪,破损不堪,0.11,当前在售(1000+)
2023-6-2 20:18,SG 553（纪念品） | 白骨 (战痕累累),消费级,纪念品,步枪,战痕累累,0.17,当前在售(1000+)
2023-6-2 20:18,蝴蝶刀（★） | 屠夫 (略有磨损) ,隐秘,★,匕首,略有磨损,10110,当前在售(289)
2023-6-2 20:18,蝴蝶刀（★） | 屠夫 (崭新出厂),隐秘,★,匕首,崭新出厂,12299.5,当前在售(289)
2023-6-2 20:18,蝴蝶刀（★） | 屠夫 (久经沙场),隐秘,★,匕首,久经沙场,8880,当前在售(289)
2023-6-2 20:18,UMP-45 | 紫青之色 (略有磨损) ,消费级,普通,微型冲锋枪,略有磨损,11.43,当前在售(122)
2023-6-2 20:18,UMP-45 | 紫青之色 (崭新出厂),消费级,普通,微型冲锋枪,崭新出厂,38.59,当前在售(122)
2023-6-2 20:18,UMP-45 | 紫青之色 (久经沙场),消费级,普通,微型冲锋枪,久经沙场,9.86,当前在售(122)
2023-6-2 20:18,UMP-45 | 紫青之色 (破损不堪),消费级,普通,微型冲锋枪,破损不堪,9.87,当前在售(122)
2023-6-2 20:18,UMP-45 | 紫青之色 (战痕累累),消费级,普通,微型冲锋枪,战痕累累,9.9,当前在售(122)
2023-6-2 20:18,暗影双匕（★ StatTrak™） | 大马士革钢 (略有磨损) ,隐秘,★ StatTrak™,匕首,略有磨损,900,当前在售(11)
2023-6-2 20:18,暗影双匕（★ StatTrak™） | 大马士革钢 (崭新出厂),隐秘,★,匕首,崭新出厂,1349.99,当前在售(11)
2023-6-2 20:18,暗影双匕（★ StatTrak™） | 大马士革钢 (久经沙场),隐秘,★,匕首,久经沙场,884.5,当前在售(11)
2023-6-2 20:18,暗影双匕（★ StatTrak™） | 大马士革钢 (破损不堪),隐秘,★,匕首,破损不堪,1499.99,当前在售(11)
2023-6-2 20:18,蝴蝶刀（★） | 深红之网 (略有磨损) ,隐秘,★,匕首,略有磨损,14930,当前在售(286)
2023-6-2 20:18,蝴蝶刀（★） | 深红之网 (崭新出厂),隐秘,★,匕首,崭新出厂,46000,当前在售(286)
2023-6-2 20:18,蝴蝶刀（★） | 深红之网 (久经沙场),隐秘,★,匕首,久经沙场,7149,当前在售(286)
2023-6-2 20:18,蝴蝶刀（★） | 深红之网 (破损不堪),隐秘,★,匕首,破损不堪,6499.99,当前在售(286)
2023-6-2 20:18,蝴蝶刀（★） | 深红之网 (战痕累累),隐秘,★,匕首,战痕累累,5699,当前在售(286)
2023-6-2 20:18,SG 553 | 阿罗哈 (略有磨损) ,军规级,普通,步枪,略有磨损,0.75,当前在售(1000+)
2023-6-2 20:18,SG 553 | 阿罗哈 (崭新出厂),军规级,普通,步枪,崭新出厂,1.49,当前在售(1000+)
2023-6-2 20:18,SG 553 | 阿罗哈 (久经沙场),军规级,普通,步枪,久经沙场,0.39,当前在售(1000+)
