Time,Full_name,Quality,Type,Kind,Exterior,Price,OnSale
2023-6-20 11:22,UMP-45 | 紫青之色 (略有磨损),消费级,普通,微型冲锋枪,略有磨损,12,当前在售(123)
2023-6-20 11:22,UMP-45 | 紫青之色 (崭新出厂),消费级,普通,微型冲锋枪,崭新出厂,31.02,当前在售(123)
2023-6-20 11:22,UMP-45 | 紫青之色 (久经沙场),消费级,普通,微型冲锋枪,久经沙场,12.17,当前在售(123)
2023-6-20 11:22,UMP-45 | 紫青之色 (破损不堪),消费级,普通,微型冲锋枪,破损不堪,11.99,当前在售(123)
2023-6-20 11:22,UMP-45 | 紫青之色 (战痕累累),消费级,普通,微型冲锋枪,战痕累累,12.85,当前在售(123)
2023-6-20 11:22,P2000（纪念品） | 坚固链甲 (略有磨损),军规级,纪念品,手枪,略有磨损,67.79,当前在售(86)
2023-6-20 11:22,P2000（纪念品） | 坚固链甲 (崭新出厂),军规级,纪念品,手枪,崭新出厂,72,当前在售(86)
2023-6-20 11:22,P2000（纪念品） | 坚固链甲 (久经沙场),军规级,纪念品,手枪,久经沙场,69.78,当前在售(86)
2023-6-20 11:22,SG 553（纪念品） | 白骨 (略有磨损),消费级,纪念品,步枪,略有磨损,0.08,当前在售(1000+)
2023-6-20 11:22,SG 553（纪念品） | 白骨 (崭新出厂),消费级,纪念品,步枪,崭新出厂,0.44,当前在售(1000+)
2023-6-20 11:22,SG 553（纪念品） | 白骨 (久经沙场),消费级,纪念品,步枪,久经沙场,0.07,当前在售(1000+)
2023-6-20 11:22,SG 553（纪念品） | 白骨 (破损不堪),消费级,纪念品,步枪,破损不堪,0.09,当前在售(1000+)
2023-6-20 11:22,SG 553（纪念品） | 白骨 (战痕累累),消费级,纪念品,步枪,战痕累累,0.11,当前在售(1000+)
2023-6-20 11:22,蝴蝶刀（★） | 深红之网 (略有磨损),隐秘,★,匕首,略有磨损,14199.5,当前在售(308)
2023-6-20 11:22,蝴蝶刀（★） | 深红之网 (崭新出厂),隐秘,★,匕首,崭新出厂,48895.99,当前在售(308)
2023-6-20 11:22,蝴蝶刀（★） | 深红之网 (久经沙场),隐秘,★,匕首,久经沙场,7000,当前在售(308)
2023-6-20 11:22,蝴蝶刀（★） | 深红之网 (破损不堪),隐秘,★,匕首,破损不堪,6440,当前在售(308)
2023-6-20 11:22,蝴蝶刀（★） | 深红之网 (战痕累累),隐秘,★,匕首,战痕累累,5500,当前在售(308)
2023-6-20 11:22,暗影双匕（★ StatTrak™） | 大马士革钢 (略有磨损),隐秘,★ StatTrak™,匕首,略有磨损,969.43,当前在售(11)
2023-6-20 11:22,暗影双匕（★ StatTrak™） | 大马士革钢 (崭新出厂),隐秘,★,匕首,崭新出厂,1295,当前在售(11)
2023-6-20 11:22,暗影双匕（★ StatTrak™） | 大马士革钢 (久经沙场),隐秘,★,匕首,久经沙场,792,当前在售(11)
2023-6-20 11:22,暗影双匕（★ StatTrak™） | 大马士革钢 (破损不堪),隐秘,★,匕首,破损不堪,949.99,当前在售(11)
2023-6-20 11:22,暗影双匕（★ StatTrak™） | 大马士革钢 (战痕累累),隐秘,★,匕首,战痕累累,820,当前在售(11)
2023-6-20 11:22,UMP-45 | 金铋辉煌 (略有磨损),受限,普通,微型冲锋枪,略有磨损,20.95,当前在售(124)
2023-6-20 11:22,UMP-45 | 金铋辉煌 (崭新出厂),受限,普通,微型冲锋枪,崭新出厂,31.88,当前在售(124)
2023-6-20 11:22,UMP-45 | 金铋辉煌 (久经沙场),受限,普通,微型冲锋枪,久经沙场,15.5,当前在售(124)
2023-6-20 11:22,UMP-45 | 金铋辉煌 (破损不堪),受限,普通,微型冲锋枪,破损不堪,18.88,当前在售(124)
