Time,Full_name,Quality,Type,Kind,Exterior,Price,OnSale
2023-6-5 21:57,UMP-45 | 紫青之色 (略有磨损) ,消费级,普通,微型冲锋枪,略有磨损,10.69,当前在售(124)
2023-6-5 21:57,UMP-45 | 紫青之色 (崭新出厂),消费级,普通,微型冲锋枪,崭新出厂,37.66,当前在售(124)
2023-6-5 21:57,UMP-45 | 紫青之色 (久经沙场),消费级,普通,微型冲锋枪,久经沙场,10.15,当前在售(124)
2023-6-5 21:57,UMP-45 | 紫青之色 (破损不堪),消费级,普通,微型冲锋枪,破损不堪,9.9,当前在售(124)
2023-6-5 21:57,UMP-45 | 紫青之色 (战痕累累),消费级,普通,微型冲锋枪,战痕累累,9.86,当前在售(124)
2023-6-5 21:57,P2000（纪念品） | 坚固链甲 (略有磨损) ,军规级,纪念品,手枪,略有磨损,51.91,当前在售(90)
2023-6-5 21:57,P2000（纪念品） | 坚固链甲 (崭新出厂),军规级,纪念品,手枪,崭新出厂,64.9,当前在售(90)
2023-6-5 21:57,P2000（纪念品） | 坚固链甲 (久经沙场),军规级,纪念品,手枪,久经沙场,54.67,当前在售(90)
2023-6-5 21:57,SG 553（纪念品） | 白骨 (略有磨损) ,消费级,纪念品,步枪,略有磨损,0.11,当前在售(1000+)
2023-6-5 21:57,SG 553（纪念品） | 白骨 (崭新出厂),消费级,纪念品,步枪,崭新出厂,0.39,当前在售(1000+)
2023-6-5 21:57,SG 553（纪念品） | 白骨 (久经沙场),消费级,纪念品,步枪,久经沙场,0.09,当前在售(1000+)
2023-6-5 21:57,SG 553（纪念品） | 白骨 (破损不堪),消费级,纪念品,步枪,破损不堪,0.11,当前在售(1000+)
2023-6-5 21:57,SG 553（纪念品） | 白骨 (战痕累累),消费级,纪念品,步枪,战痕累累,0.14,当前在售(1000+)
2023-6-5 21:57,暗影双匕（★） | 噩梦之夜 (略有磨损) ,隐秘,★,匕首,略有磨损,808.87,当前在售(13)
2023-6-5 21:57,暗影双匕（★） | 噩梦之夜 (久经沙场),隐秘,★,匕首,久经沙场,667,当前在售(13)
2023-6-5 21:57,暗影双匕（★） | 噩梦之夜 (破损不堪),隐秘,★,匕首,破损不堪,692.5,当前在售(13)
2023-6-5 21:57,暗影双匕（★） | 噩梦之夜 (战痕累累),隐秘,★,匕首,战痕累累,663.48,当前在售(13)
2023-6-5 21:57,蝴蝶刀（★） | 深红之网 (略有磨损) ,隐秘,★,匕首,略有磨损,15000,当前在售(292)
2023-6-5 21:57,蝴蝶刀（★） | 深红之网 (崭新出厂),隐秘,★,匕首,崭新出厂,46000,当前在售(292)
2023-6-5 21:57,蝴蝶刀（★） | 深红之网 (久经沙场),隐秘,★,匕首,久经沙场,7180,当前在售(292)
2023-6-5 21:57,蝴蝶刀（★） | 深红之网 (破损不堪),隐秘,★,匕首,破损不堪,6660,当前在售(292)
2023-6-5 21:57,蝴蝶刀（★） | 深红之网 (战痕累累),隐秘,★,匕首,战痕累累,5719,当前在售(292)
2023-6-5 21:57,SG 553 | 阿罗哈 (略有磨损) ,军规级,普通,步枪,略有磨损,0.7,当前在售(1000+)
2023-6-5 21:57,SG 553 | 阿罗哈 (崭新出厂),军规级,普通,步枪,崭新出厂,1.43,当前在售(1000+)
2023-6-5 21:57,SG 553 | 阿罗哈 (久经沙场),军规级,普通,步枪,久经沙场,0.4,当前在售(1000+)
2023-6-5 21:57,SG 553 | 阿罗哈 (破损不堪),军规级,普通,步枪,破损不堪,0.58,当前在售(1000+)
2023-6-5 21:57,SG 553 | 阿罗哈 (战痕累累),军规级,普通,步枪,战痕累累,0.35,当前在售(1000+)
2023-6-5 21:57,P2000 | 黑曜石 (略有磨损) ,受限,普通,手枪,略有磨损,14.69,当前在售(63)
2023-6-5 21:57,P2000 | 黑曜石 (崭新出厂),受限,普通,手枪,崭新出厂,30,当前在售(63)
2023-6-5 21:57,P2000 | 黑曜石 (久经沙场),受限,普通,手枪,久经沙场,9.23,当前在售(63)
2023-6-5 21:57,P2000 | 黑曜石 (破损不堪),受限,普通,手枪,破损不堪,9.82,当前在售(63)
2023-6-5 21:57,P2000 | 黑曜石 (战痕累累),受限,普通,手枪,战痕累累,7.45,当前在售(63)
2023-6-5 21:57,UMP-45 | 金铋辉煌 (略有磨损) ,受限,普通,微型冲锋枪,略有磨损,21.05,当前在售(112)
2023-6-5 21:57,UMP-45 | 金铋辉煌 (崭新出厂),受限,普通,微型冲锋枪,崭新出厂,32.45,当前在售(112)
2023-6-5 21:57,UMP-45 | 金铋辉煌 (久经沙场),受限,普通,微型冲锋枪,久经沙场,13.9,当前在售(112)
2023-6-5 21:57,UMP-45 | 金铋辉煌 (破损不堪),受限,普通,微型冲锋枪,破损不堪,14.2,当前在售(112)
2023-6-5 21:57,UMP-45 | 金铋辉煌 (战痕累累),受限,普通,微型冲锋枪,战痕累累,11.29,当前在售(112)
2023-6-5 21:57,蝴蝶刀（★） | 表面淬火 (略有磨损) ,隐秘,★,匕首,略有磨损,6776,当前在售(249)
2023-6-5 21:57,蝴蝶刀（★） | 表面淬火 (崭新出厂),隐秘,★,匕首,崭新出厂,9899,当前在售(249)
2023-6-5 21:57,蝴蝶刀（★） | 表面淬火 (久经沙场),隐秘,★,匕首,久经沙场,6158.99,当前在售(249)
2023-6-5 21:57,蝴蝶刀（★） | 表面淬火 (破损不堪),隐秘,★,匕首,破损不堪,5599,当前在售(249)
2023-6-5 21:57,蝴蝶刀（★） | 表面淬火 (战痕累累),隐秘,★,匕首,战痕累累,5290,当前在售(249)
2023-6-5 21:57,SG 553 | 青龙 (略有磨损) ,受限,普通,步枪,略有磨损,9.44,当前在售(1000+)
2023-6-5 21:57,SG 553 | 青龙 (崭新出厂),受限,普通,步枪,崭新出厂,17.33,当前在售(1000+)
2023-6-5 21:57,SG 553 | 青龙 (久经沙场),受限,普通,步枪,久经沙场,5.13,当前在售(1000+)
2023-6-5 21:57,SG 553 | 青龙 (破损不堪),受限,普通,步枪,破损不堪,4.7,当前在售(1000+)
2023-6-5 21:57,SG 553 | 青龙 (战痕累累),受限,普通,步枪,战痕累累,3.55,当前在售(1000+)
2023-6-5 21:57,UMP-45 | 逮捕者 (略有磨损) ,军规级,普通,微型冲锋枪,略有磨损,4.05,当前在售(144)
2023-6-5 21:57,UMP-45 | 逮捕者 (崭新出厂),军规级,普通,微型冲锋枪,崭新出厂,5.99,当前在售(144)
2023-6-5 21:57,UMP-45 | 逮捕者 (久经沙场),军规级,普通,微型冲锋枪,久经沙场,2.9,当前在售(144)
2023-6-5 21:57,UMP-45 | 逮捕者 (破损不堪),军规级,普通,微型冲锋枪,破损不堪,2.4,当前在售(144)
2023-6-5 21:57,UMP-45 | 逮捕者 (战痕累累),军规级,普通,微型冲锋枪,战痕累累,2.32,当前在售(144)
2023-6-5 21:57,暗影双匕（★ StatTrak™） | 大马士革钢 (略有磨损) ,隐秘,★ StatTrak™,匕首,略有磨损,1019.95,当前在售(12)
2023-6-5 21:57,暗影双匕（★ StatTrak™） | 大马士革钢 (崭新出厂),隐秘,★,匕首,崭新出厂,1349.99,当前在售(12)
2023-6-5 21:57,暗影双匕（★ StatTrak™） | 大马士革钢 (久经沙场),隐秘,★,匕首,久经沙场,887.37,当前在售(12)
2023-6-5 21:57,暗影双匕（★ StatTrak™） | 大马士革钢 (破损不堪),隐秘,★,匕首,破损不堪,1499.99,当前在售(12)
2023-6-5 21:57,蝴蝶刀（★） | 传说 (略有磨损) ,隐秘,★,匕首,略有磨损,26700,当前在售(229)
2023-6-5 21:57,蝴蝶刀（★） | 传说 (崭新出厂),隐秘,★,匕首,崭新出厂,48888,当前在售(229)
2023-6-5 21:57,蝴蝶刀（★） | 传说 (久经沙场),隐秘,★,匕首,久经沙场,14000,当前在售(229)
2023-6-5 21:57,蝴蝶刀（★） | 传说 (破损不堪),隐秘,★,匕首,破损不堪,9995,当前在售(229)
2023-6-5 21:57,蝴蝶刀（★） | 传说 (战痕累累),隐秘,★,匕首,战痕累累,7150,当前在售(229)
2023-6-5 21:57,P2000（纪念品） | 渐变琥珀 (略有磨损) ,受限,纪念品,手枪,略有磨损,97.33,当前在售(50)
2023-6-5 21:57,P2000（纪念品） | 渐变琥珀 (崭新出厂),受限,纪念品,手枪,崭新出厂,211,当前在售(50)
2023-6-5 21:57,P2000（纪念品） | 渐变琥珀 (久经沙场),受限,纪念品,手枪,久经沙场,69.79,当前在售(50)
2023-6-5 21:57,P2000（纪念品） | 渐变琥珀 (破损不堪),受限,纪念品,手枪,破损不堪,359,当前在售(50)
2023-6-5 21:57,SG 553 | 赛博之力 (略有磨损) ,军规级,普通,步枪,略有磨损,1.96,当前在售(948)
2023-6-5 21:57,SG 553 | 赛博之力 (崭新出厂),军规级,普通,步枪,崭新出厂,3.85,当前在售(948)
2023-6-5 21:57,SG 553 | 赛博之力 (久经沙场),军规级,普通,步枪,久经沙场,0.99,当前在售(948)
2023-6-5 21:57,SG 553 | 赛博之力 (破损不堪),军规级,普通,步枪,破损不堪,0.8,当前在售(948)
2023-6-5 21:57,SG 553 | 赛博之力 (战痕累累),军规级,普通,步枪,战痕累累,0.67,当前在售(948)
2023-6-5 21:57,蝴蝶刀（★） | 致命紫罗兰 (略有磨损) ,隐秘,★,匕首,略有磨损,8650,当前在售(146)
2023-6-5 21:57,蝴蝶刀（★） | 致命紫罗兰 (崭新出厂),隐秘,★,匕首,崭新出厂,18600,当前在售(146)
