Time,Full_name,Quality,Type,Kind,Exterior,Price,OnSale
2023-6-6 9:24,蝴蝶刀（★） | 屠夫 (略有磨损) ,隐秘,★,匕首,略有磨损,10185,当前在售(291)
2023-6-6 9:24,蝴蝶刀（★） | 屠夫 (崭新出厂),隐秘,★,匕首,崭新出厂,12444.44,当前在售(291)
2023-6-6 9:24,蝴蝶刀（★） | 屠夫 (久经沙场),隐秘,★,匕首,久经沙场,8860,当前在售(291)
2023-6-6 9:24,暗影双匕（★） | 噩梦之夜 (略有磨损) ,隐秘,★,匕首,略有磨损,807.99,当前在售(13)
2023-6-6 9:24,暗影双匕（★） | 噩梦之夜 (久经沙场),隐秘,★,匕首,久经沙场,693.99,当前在售(13)
2023-6-6 9:24,暗影双匕（★） | 噩梦之夜 (破损不堪),隐秘,★,匕首,破损不堪,692.5,当前在售(13)
2023-6-6 9:24,暗影双匕（★） | 噩梦之夜 (战痕累累),隐秘,★,匕首,战痕累累,658.5,当前在售(13)
2023-6-6 9:24,SG 553（纪念品） | 白骨 (略有磨损) ,消费级,纪念品,步枪,略有磨损,0.15,当前在售(1000+)
2023-6-6 9:24,SG 553（纪念品） | 白骨 (崭新出厂),消费级,纪念品,步枪,崭新出厂,0.4,当前在售(1000+)
2023-6-6 9:24,SG 553（纪念品） | 白骨 (久经沙场),消费级,纪念品,步枪,久经沙场,0.1,当前在售(1000+)
2023-6-6 9:24,SG 553（纪念品） | 白骨 (破损不堪),消费级,纪念品,步枪,破损不堪,0.15,当前在售(1000+)
2023-6-6 9:24,SG 553（纪念品） | 白骨 (战痕累累),消费级,纪念品,步枪,战痕累累,0.12,当前在售(1000+)
2023-6-6 9:24,P2000（纪念品） | 坚固链甲 (略有磨损) ,军规级,纪念品,手枪,略有磨损,51.91,当前在售(85)
2023-6-6 9:24,P2000（纪念品） | 坚固链甲 (崭新出厂),军规级,纪念品,手枪,崭新出厂,64.9,当前在售(85)
2023-6-6 9:24,P2000（纪念品） | 坚固链甲 (久经沙场),军规级,纪念品,手枪,久经沙场,55,当前在售(85)
2023-6-6 9:24,UMP-45 | 紫青之色 (略有磨损) ,消费级,普通,微型冲锋枪,略有磨损,10,当前在售(125)
2023-6-6 9:24,UMP-45 | 紫青之色 (崭新出厂),消费级,普通,微型冲锋枪,崭新出厂,37.29,当前在售(125)
2023-6-6 9:24,UMP-45 | 紫青之色 (久经沙场),消费级,普通,微型冲锋枪,久经沙场,9.9,当前在售(125)
2023-6-6 9:24,UMP-45 | 紫青之色 (破损不堪),消费级,普通,微型冲锋枪,破损不堪,9.88,当前在售(125)
2023-6-6 9:24,UMP-45 | 紫青之色 (战痕累累),消费级,普通,微型冲锋枪,战痕累累,9.98,当前在售(125)
2023-6-6 9:24,暗影双匕（★ StatTrak™） | 大马士革钢 (略有磨损) ,隐秘,★ StatTrak™,匕首,略有磨损,1019.87,当前在售(12)
2023-6-6 9:24,暗影双匕（★ StatTrak™） | 大马士革钢 (崭新出厂),隐秘,★,匕首,崭新出厂,1349.99,当前在售(12)
2023-6-6 9:24,暗影双匕（★ StatTrak™） | 大马士革钢 (久经沙场),隐秘,★,匕首,久经沙场,886.86,当前在售(12)
2023-6-6 9:24,暗影双匕（★ StatTrak™） | 大马士革钢 (破损不堪),隐秘,★,匕首,破损不堪,1499.99,当前在售(12)
2023-6-6 9:24,蝴蝶刀（★） | 深红之网 (略有磨损) ,隐秘,★,匕首,略有磨损,14999.5,当前在售(292)
2023-6-6 9:24,蝴蝶刀（★） | 深红之网 (崭新出厂),隐秘,★,匕首,崭新出厂,46000,当前在售(292)
2023-6-6 9:24,蝴蝶刀（★） | 深红之网 (久经沙场),隐秘,★,匕首,久经沙场,7249,当前在售(292)
2023-6-6 9:24,蝴蝶刀（★） | 深红之网 (破损不堪),隐秘,★,匕首,破损不堪,6650,当前在售(292)
2023-6-6 9:24,蝴蝶刀（★） | 深红之网 (战痕累累),隐秘,★,匕首,战痕累累,5699,当前在售(292)
2023-6-6 9:24,SG 553 | 阿罗哈 (略有磨损) ,军规级,普通,步枪,略有磨损,0.71,当前在售(1000+)
