Time,Full_name,Quality,Type,Kind,Exterior,Price,OnSale
2023-6-8 22:21,蝴蝶刀（★） | 屠夫 (略有磨损),隐秘,★,匕首,略有磨损,9990,当前在售(291)
2023-6-8 22:21,蝴蝶刀（★） | 屠夫 (崭新出厂),隐秘,★,匕首,崭新出厂,12199,当前在售(291)
2023-6-8 22:21,蝴蝶刀（★） | 屠夫 (久经沙场),隐秘,★,匕首,久经沙场,8860,当前在售(291)
2023-6-8 22:21,暗影双匕（★） | 噩梦之夜 (略有磨损),隐秘,★,匕首,略有磨损,814,当前在售(9)
2023-6-8 22:21,暗影双匕（★） | 噩梦之夜 (久经沙场),隐秘,★,匕首,久经沙场,677.99,当前在售(9)
2023-6-8 22:21,暗影双匕（★） | 噩梦之夜 (破损不堪),隐秘,★,匕首,破损不堪,692.5,当前在售(9)
2023-6-8 22:21,暗影双匕（★） | 噩梦之夜 (战痕累累),隐秘,★,匕首,战痕累累,639.5,当前在售(9)
2023-6-8 22:21,SG 553（纪念品） | 白骨 (略有磨损),消费级,纪念品,步枪,略有磨损,0.16,当前在售(1000+)
2023-6-8 22:21,SG 553（纪念品） | 白骨 (崭新出厂),消费级,纪念品,步枪,崭新出厂,0.37,当前在售(1000+)
2023-6-8 22:21,SG 553（纪念品） | 白骨 (久经沙场),消费级,纪念品,步枪,久经沙场,0.11,当前在售(1000+)
2023-6-8 22:21,SG 553（纪念品） | 白骨 (破损不堪),消费级,纪念品,步枪,破损不堪,0.12,当前在售(1000+)
2023-6-8 22:21,SG 553（纪念品） | 白骨 (战痕累累),消费级,纪念品,步枪,战痕累累,0.12,当前在售(1000+)
2023-6-8 22:21,P2000（纪念品） | 坚固链甲 (略有磨损),军规级,纪念品,手枪,略有磨损,51.94,当前在售(83)
2023-6-8 22:21,P2000（纪念品） | 坚固链甲 (崭新出厂),军规级,纪念品,手枪,崭新出厂,64,当前在售(83)
2023-6-8 22:21,P2000（纪念品） | 坚固链甲 (久经沙场),军规级,纪念品,手枪,久经沙场,55,当前在售(83)
2023-6-8 22:21,UMP-45 | 紫青之色 (略有磨损),消费级,普通,微型冲锋枪,略有磨损,11,当前在售(116)
2023-6-8 22:21,UMP-45 | 紫青之色 (崭新出厂),消费级,普通,微型冲锋枪,崭新出厂,37.9,当前在售(116)
2023-6-8 22:21,UMP-45 | 紫青之色 (久经沙场),消费级,普通,微型冲锋枪,久经沙场,9.69,当前在售(116)
2023-6-8 22:21,UMP-45 | 紫青之色 (破损不堪),消费级,普通,微型冲锋枪,破损不堪,9.74,当前在售(116)
2023-6-8 22:21,UMP-45 | 紫青之色 (战痕累累),消费级,普通,微型冲锋枪,战痕累累,9.76,当前在售(116)
2023-6-8 22:21,蝴蝶刀（★） | 深红之网 (略有磨损),隐秘,★,匕首,略有磨损,14688.5,当前在售(288)
2023-6-8 22:21,蝴蝶刀（★） | 深红之网 (崭新出厂),隐秘,★,匕首,崭新出厂,46899,当前在售(288)
2023-6-8 22:21,蝴蝶刀（★） | 深红之网 (久经沙场),隐秘,★,匕首,久经沙场,7098.5,当前在售(288)
2023-6-8 22:21,蝴蝶刀（★） | 深红之网 (破损不堪),隐秘,★,匕首,破损不堪,6550,当前在售(288)
2023-6-8 22:21,蝴蝶刀（★） | 深红之网 (战痕累累),隐秘,★,匕首,战痕累累,5665,当前在售(288)
2023-6-8 22:21,暗影双匕（★ StatTrak™） | 大马士革钢 (略有磨损),隐秘,★ StatTrak™,匕首,略有磨损,999.5,当前在售(12)
2023-6-8 22:21,暗影双匕（★ StatTrak™） | 大马士革钢 (崭新出厂),隐秘,★,匕首,崭新出厂,1300,当前在售(12)
2023-6-8 22:21,暗影双匕（★ StatTrak™） | 大马士革钢 (久经沙场),隐秘,★,匕首,久经沙场,883.17,当前在售(12)
2023-6-8 22:21,暗影双匕（★ StatTrak™） | 大马士革钢 (破损不堪),隐秘,★,匕首,破损不堪,1499.99,当前在售(12)
2023-6-8 22:21,P2000 | 黑曜石 (略有磨损),受限,普通,手枪,略有磨损,16.1,当前在售(57)
2023-6-8 22:21,P2000 | 黑曜石 (崭新出厂),受限,普通,手枪,崭新出厂,34,当前在售(57)
2023-6-8 22:21,P2000 | 黑曜石 (久经沙场),受限,普通,手枪,久经沙场,8.39,当前在售(57)
2023-6-8 22:21,P2000 | 黑曜石 (破损不堪),受限,普通,手枪,破损不堪,7.95,当前在售(57)
2023-6-8 22:21,P2000 | 黑曜石 (战痕累累),受限,普通,手枪,战痕累累,7.76,当前在售(57)
2023-6-8 22:21,UMP-45 | 金铋辉煌 (略有磨损),受限,普通,微型冲锋枪,略有磨损,20.7,当前在售(110)
2023-6-8 22:21,UMP-45 | 金铋辉煌 (崭新出厂),受限,普通,微型冲锋枪,崭新出厂,31.78,当前在售(110)
2023-6-8 22:21,UMP-45 | 金铋辉煌 (久经沙场),受限,普通,微型冲锋枪,久经沙场,14.09,当前在售(110)
2023-6-8 22:21,UMP-45 | 金铋辉煌 (破损不堪),受限,普通,微型冲锋枪,破损不堪,14.7,当前在售(110)
2023-6-8 22:21,UMP-45 | 金铋辉煌 (战痕累累),受限,普通,微型冲锋枪,战痕累累,10.94,当前在售(110)
2023-6-8 22:21,SG 553 | 阿罗哈 (略有磨损),军规级,普通,步枪,略有磨损,0.7,当前在售(1000+)
2023-6-8 22:21,SG 553 | 阿罗哈 (崭新出厂),军规级,普通,步枪,崭新出厂,1.45,当前在售(1000+)
2023-6-8 22:21,SG 553 | 阿罗哈 (久经沙场),军规级,普通,步枪,久经沙场,0.4,当前在售(1000+)
2023-6-8 22:21,SG 553 | 阿罗哈 (破损不堪),军规级,普通,步枪,破损不堪,0.39,当前在售(1000+)
2023-6-8 22:21,SG 553 | 阿罗哈 (战痕累累),军规级,普通,步枪,战痕累累,0.33,当前在售(1000+)
2023-6-8 22:21,蝴蝶刀（★） | 表面淬火 (略有磨损),隐秘,★,匕首,略有磨损,6768.5,当前在售(257)
2023-6-8 22:21,蝴蝶刀（★） | 表面淬火 (崭新出厂),隐秘,★,匕首,崭新出厂,9488,当前在售(257)
2023-6-8 22:21,蝴蝶刀（★） | 表面淬火 (久经沙场),隐秘,★,匕首,久经沙场,6148.8,当前在售(257)
2023-6-8 22:21,蝴蝶刀（★） | 表面淬火 (破损不堪),隐秘,★,匕首,破损不堪,5500,当前在售(257)
2023-6-8 22:21,蝴蝶刀（★） | 表面淬火 (战痕累累),隐秘,★,匕首,战痕累累,5188,当前在售(257)
2023-6-8 22:21,暗影双匕（★ StatTrak™） | 传说 (略有磨损),隐秘,★ StatTrak™,匕首,略有磨损,1639.24,当前在售(12)
2023-6-8 22:21,暗影双匕（★ StatTrak™） | 传说 (崭新出厂),隐秘,★,匕首,崭新出厂,3549.99,当前在售(12)
2023-6-8 22:21,暗影双匕（★ StatTrak™） | 传说 (久经沙场),隐秘,★,匕首,久经沙场,1479,当前在售(12)
2023-6-8 22:21,暗影双匕（★ StatTrak™） | 传说 (破损不堪),隐秘,★,匕首,破损不堪,1118,当前在售(12)
2023-6-8 22:21,暗影双匕（★ StatTrak™） | 传说 (战痕累累),隐秘,★,匕首,战痕累累,1047,当前在售(12)
2023-6-8 22:21,P2000（纪念品） | 渐变琥珀 (略有磨损),受限,纪念品,手枪,略有磨损,96.93,当前在售(53)
2023-6-8 22:21,P2000（纪念品） | 渐变琥珀 (崭新出厂),受限,纪念品,手枪,崭新出厂,209,当前在售(53)
2023-6-8 22:21,P2000（纪念品） | 渐变琥珀 (久经沙场),受限,纪念品,手枪,久经沙场,76.72,当前在售(53)
2023-6-8 22:21,P2000（纪念品） | 渐变琥珀 (破损不堪),受限,纪念品,手枪,破损不堪,360,当前在售(53)
2023-6-8 22:21,SG 553 | 青龙 (略有磨损),受限,普通,步枪,略有磨损,9,当前在售(1000+)
2023-6-8 22:21,SG 553 | 青龙 (崭新出厂),受限,普通,步枪,崭新出厂,17.83,当前在售(1000+)
2023-6-8 22:21,SG 553 | 青龙 (久经沙场),受限,普通,步枪,久经沙场,4.87,当前在售(1000+)
2023-6-8 22:21,SG 553 | 青龙 (破损不堪),受限,普通,步枪,破损不堪,4.84,当前在售(1000+)
2023-6-8 22:21,SG 553 | 青龙 (战痕累累),受限,普通,步枪,战痕累累,4.19,当前在售(1000+)
2023-6-8 22:21,蝴蝶刀（★） | 传说 (略有磨损),隐秘,★,匕首,略有磨损,26599.5,当前在售(239)
2023-6-8 22:21,蝴蝶刀（★） | 传说 (崭新出厂),隐秘,★,匕首,崭新出厂,49999.5,当前在售(239)
2023-6-8 22:21,蝴蝶刀（★） | 传说 (久经沙场),隐秘,★,匕首,久经沙场,13999.99,当前在售(239)
2023-6-8 22:21,蝴蝶刀（★） | 传说 (破损不堪),隐秘,★,匕首,破损不堪,9977,当前在售(239)
2023-6-8 22:21,蝴蝶刀（★） | 传说 (战痕累累),隐秘,★,匕首,战痕累累,7100,当前在售(239)
2023-6-8 22:21,暗影双匕（★ StatTrak™） | 自动化 (略有磨损),隐秘,★ StatTrak™,匕首,略有磨损,1250,当前在售(10)
2023-6-8 22:21,暗影双匕（★ StatTrak™） | 自动化 (崭新出厂),隐秘,★,匕首,崭新出厂,1666,当前在售(10)
2023-6-8 22:21,暗影双匕（★ StatTrak™） | 自动化 (久经沙场),隐秘,★,匕首,久经沙场,929.99,当前在售(10)
2023-6-8 22:21,暗影双匕（★ StatTrak™） | 自动化 (破损不堪),隐秘,★,匕首,破损不堪,1099.5,当前在售(10)
2023-6-8 22:21,暗影双匕（★ StatTrak™） | 自动化 (战痕累累),隐秘,★,匕首,战痕累累,951.42,当前在售(10)
2023-6-8 22:21,P2000 | 绝命密电 (略有磨损),军规级,普通,手枪,略有磨损,80.9,当前在售(39)
2023-6-8 22:21,P2000 | 绝命密电 (崭新出厂),军规级,普通,手枪,崭新出厂,85.95,当前在售(39)
2023-6-8 22:21,P2000 | 绝命密电 (久经沙场),军规级,普通,手枪,久经沙场,80.9,当前在售(39)
2023-6-8 22:21,P2000 | 绝命密电 (破损不堪),军规级,普通,手枪,破损不堪,82,当前在售(39)
2023-6-8 22:21,P2000 | 绝命密电 (战痕累累),军规级,普通,手枪,战痕累累,83.8,当前在售(39)
2023-6-8 22:21,UMP-45 | 逮捕者 (略有磨损),军规级,普通,微型冲锋枪,略有磨损,3.81,当前在售(134)
2023-6-8 22:21,UMP-45 | 逮捕者 (崭新出厂),军规级,普通,微型冲锋枪,崭新出厂,5.85,当前在售(134)
2023-6-8 22:21,UMP-45 | 逮捕者 (久经沙场),军规级,普通,微型冲锋枪,久经沙场,2.95,当前在售(134)
2023-6-8 22:21,UMP-45 | 逮捕者 (破损不堪),军规级,普通,微型冲锋枪,破损不堪,2,当前在售(134)
2023-6-8 22:21,UMP-45 | 逮捕者 (战痕累累),军规级,普通,微型冲锋枪,战痕累累,2.31,当前在售(134)
2023-6-8 22:21,蝴蝶刀（★） | 致命紫罗兰 (略有磨损),隐秘,★,匕首,略有磨损,8288,当前在售(154)
2023-6-8 22:21,蝴蝶刀（★） | 致命紫罗兰 (崭新出厂),隐秘,★,匕首,崭新出厂,17997,当前在售(154)
2023-6-8 22:21,蝴蝶刀（★） | 致命紫罗兰 (久经沙场),隐秘,★,匕首,久经沙场,5539.5,当前在售(154)
2023-6-8 22:21,蝴蝶刀（★） | 致命紫罗兰 (破损不堪),隐秘,★,匕首,破损不堪,5135,当前在售(154)
2023-6-8 22:21,蝴蝶刀（★） | 致命紫罗兰 (战痕累累),隐秘,★,匕首,战痕累累,4649,当前在售(154)
2023-6-8 22:21,暗影双匕（★ StatTrak™） | 澄澈之水 (略有磨损),隐秘,★ StatTrak™,匕首,略有磨损,825,当前在售(12)
2023-6-8 22:21,暗影双匕（★ StatTrak™） | 澄澈之水 (崭新出厂),隐秘,★,匕首,崭新出厂,1020,当前在售(12)
2023-6-8 22:21,暗影双匕（★ StatTrak™） | 澄澈之水 (久经沙场),隐秘,★,匕首,久经沙场,738,当前在售(12)
2023-6-8 22:21,暗影双匕（★ StatTrak™） | 澄澈之水 (战痕累累),隐秘,★,匕首,战痕累累,787.88,当前在售(12)
2023-6-8 22:21,P2000（StatTrak™） | 黑曜石 (略有磨损),受限,StatTrak™,手枪,略有磨损,37,当前在售(21)
2023-6-8 22:21,P2000（StatTrak™） | 黑曜石 (崭新出厂),受限,StatTrak™,手枪,崭新出厂,88.44,当前在售(21)
2023-6-8 22:21,P2000（StatTrak™） | 黑曜石 (久经沙场),受限,StatTrak™,手枪,久经沙场,13.4,当前在售(21)
2023-6-8 22:21,P2000（StatTrak™） | 黑曜石 (破损不堪),受限,StatTrak™,手枪,破损不堪,12.58,当前在售(21)
2023-6-8 22:21,P2000（StatTrak™） | 黑曜石 (战痕累累),受限,StatTrak™,手枪,战痕累累,10.4,当前在售(21)
2023-6-8 22:21,蝴蝶刀（★） | 大马士革钢 (略有磨损),隐秘,★,匕首,略有磨损,7198,当前在售(151)
2023-6-8 22:21,蝴蝶刀（★） | 大马士革钢 (崭新出厂),隐秘,★,匕首,崭新出厂,8100,当前在售(151)
2023-6-8 22:21,蝴蝶刀（★） | 大马士革钢 (久经沙场),隐秘,★,匕首,久经沙场,6480,当前在售(151)
2023-6-8 22:21,蝴蝶刀（★） | 大马士革钢 (破损不堪),隐秘,★,匕首,破损不堪,6049,当前在售(151)
2023-6-8 22:21,蝴蝶刀（★） | 大马士革钢 (战痕累累),隐秘,★,匕首,战痕累累,5966,当前在售(151)
2023-6-8 22:21,暗影双匕（★ StatTrak™） | 表面淬火 (略有磨损),隐秘,★ StatTrak™,匕首,略有磨损,1687,当前在售(8)
2023-6-8 22:21,暗影双匕（★ StatTrak™） | 表面淬火 (久经沙场),隐秘,★,匕首,久经沙场,1120,当前在售(8)
2023-6-8 22:21,暗影双匕（★ StatTrak™） | 表面淬火 (破损不堪),隐秘,★,匕首,破损不堪,1090,当前在售(8)
2023-6-8 22:21,暗影双匕（★ StatTrak™） | 表面淬火 (战痕累累),隐秘,★,匕首,战痕累累,900,当前在售(8)
2023-6-8 22:21,P2000（StatTrak™） | 珊瑚树 (略有磨损),保密,StatTrak™,手枪,略有磨损,93.87,当前在售(34)
2023-6-8 22:21,P2000（StatTrak™） | 珊瑚树 (崭新出厂),保密,StatTrak™,手枪,崭新出厂,324,当前在售(34)
2023-6-8 22:21,P2000（StatTrak™） | 珊瑚树 (久经沙场),保密,StatTrak™,手枪,久经沙场,70.95,当前在售(34)
2023-6-8 22:21,暗影双匕（★ StatTrak™） | 自由之手 (略有磨损),隐秘,★ StatTrak™,匕首,略有磨损,1075.3,当前在售(6)
2023-6-8 22:21,暗影双匕（★ StatTrak™） | 自由之手 (崭新出厂),隐秘,★,匕首,崭新出厂,1399.99,当前在售(6)
2023-6-8 22:21,暗影双匕（★ StatTrak™） | 自由之手 (久经沙场),隐秘,★,匕首,久经沙场,988,当前在售(6)
2023-6-8 22:21,暗影双匕（★ StatTrak™） | 自由之手 (破损不堪),隐秘,★,匕首,破损不堪,899.5,当前在售(6)
2023-6-8 22:21,暗影双匕（★ StatTrak™） | 自由之手 (战痕累累),隐秘,★,匕首,战痕累累,929,当前在售(6)
2023-6-8 22:21,P2000（StatTrak™） | 火灵 (略有磨损),隐秘,StatTrak™,手枪,略有磨损,440.03,当前在售(32)
2023-6-8 22:21,P2000（StatTrak™） | 火灵 (崭新出厂),隐秘,StatTrak™,手枪,崭新出厂,733.8,当前在售(32)
